cohort,method,cost,success_rate,sense_rate,duration_s,rescue_rate,spoil_rate
iid,always_act,0.4348639680547785,0.617783203125,0.0,0.22,0.0,0.0
iid,always_look,0.48869901828981305,0.6375179036458334,1.0,0.5246428992956391,0.16890462239583334,0.149169921875
iid,always_probe,0.44799401343467576,0.654541015625,1.0,0.42724175650080476,0.22050130208333332,0.18374348958333334
iid,tuned_rule,0.35284783696238026,0.7220947265625,0.5741666666666667,0.32800078865615573,0.1579638671875,0.05365234375
iid,known_model_mc,0.349361789148821,0.727509765625,0.5733333333333334,0.3336639716355282,0.15977213541666666,0.05004557291666667
iid,outcome64_seed11,0.3470771787306273,0.7304069010416666,0.5833333333333334,0.3353654773115747,0.16282389322916666,0.0502001953125
iid,outcome64_seed22,0.34698056283722983,0.730068359375,0.5825,0.3341492913199976,0.16301432291666668,0.050729166666666665
iid,outcome64_seed33,0.3472996108322792,0.7296012369791667,0.5791666666666667,0.3332678029861837,0.1628173828125,0.050999348958333336
iid,paired64_seed11,0.3466670799609861,0.7297542317708333,0.565,0.3304887761645593,0.15919108072916666,0.04722005208333333
iid,paired64_seed22,0.3470841965545971,0.7304671223958333,0.5933333333333334,0.33612331394579725,0.1666748046875,0.05399088541666667
iid,paired64_seed33,0.34695228205154727,0.7295003255208333,0.5725,0.3314810775467709,0.1607666015625,0.04904947916666667
iid,no_delay64_seed11,0.35625938679404917,0.7207926432291667,0.5233333333333333,0.33834832404862897,0.15183268229166666,0.0488232421875
iid,no_delay64_seed22,0.3572493920532349,0.721376953125,0.5516666666666666,0.3449668997403208,0.1589111328125,0.0553173828125
iid,no_delay64_seed33,0.3565849558938576,0.7217333984375,0.54,0.343090391655089,0.1552978515625,0.05134765625
iid,unpaired64_seed11,0.3471363058015547,0.729931640625,0.5733333333333334,0.33305754760697576,0.1609130859375,0.0487646484375
iid,unpaired64_seed22,0.3475251441685192,0.7297135416666667,0.5933333333333334,0.33546373370761606,0.165126953125,0.053196614583333336
iid,unpaired64_seed33,0.3468568220576653,0.7296175130208333,0.5766666666666667,0.33210996913448393,0.16175130208333333,0.0499169921875
iid,choice128_seed11,0.3485108264928761,0.7280810546875,0.5716666666666667,0.33450194765850805,0.15848795572916666,0.048190104166666664
iid,choice128_seed22,0.34917591284433525,0.7275748697916666,0.5841666666666666,0.3335433146660741,0.16093912760416668,0.0511474609375
iid,choice128_seed33,0.34929703000824974,0.72677734375,0.5633333333333334,0.33106530208427604,0.15771158854166667,0.04871744791666666
delay,always_act,0.4464710074406881,0.6056363932291666,0.0,0.22,0.0,0.0
delay,always_look,0.7848481546727294,0.450166015625,1.0,0.9902922735625674,0.12185709635416667,0.27732747395833335
delay,always_probe,0.4510538981712208,0.6502262369791667,1.0,0.42736649996485143,0.22654622395833332,0.18195638020833332
delay,tuned_rule,0.39275896185471093,0.6830777994791667,0.5225,0.332417668836353,0.15086100260416666,0.07341959635416667
delay,known_model_mc,0.3851433773722879,0.6903271484375,0.485,0.3305206406157532,0.1462841796875,0.061593424479166665
delay,outcome64_seed11,0.3844497585451717,0.6921858723958333,0.5258333333333334,0.33796624926086205,0.15465006510416668,0.0681005859375
delay,outcome64_seed22,0.3846152179654847,0.6915787760416666,0.5158333333333334,0.335157267737598,0.15337890625,0.0674365234375
delay,outcome64_seed33,0.3848625085750229,0.6922395833333334,0.5283333333333333,0.3380888179410056,0.1567333984375,0.07013020833333333
delay,paired64_seed11,0.38478767070773157,0.6885270182291666,0.4625,0.32228901719113057,0.13919759114583333,0.05630696614583333
delay,paired64_seed22,0.38416186767381144,0.6918896484375,0.5216666666666666,0.3367375025300169,0.15473795572916665,0.06848470052083333
delay,paired64_seed33,0.3841542680284661,0.6910270182291667,0.4816666666666667,0.330621428040763,0.14513509114583334,0.059744466145833335
delay,no_delay64_seed11,0.3916628707528605,0.6874527994791667,0.4866666666666667,0.36136009068550756,0.14405598958333332,0.062239583333333334
delay,no_delay64_seed22,0.3905736305402081,0.6895865885416667,0.5191666666666667,0.36434551839243745,0.1520703125,0.0681201171875
delay,no_delay64_seed33,0.39493525911384497,0.6878857421875,0.5291666666666667,0.38098261036492914,0.15208658854166668,0.06983723958333334
delay,unpaired64_seed11,0.38507289063620437,0.6886686197916667,0.4533333333333333,0.3232747346840226,0.13783854166666668,0.05480631510416667
delay,unpaired64_seed22,0.38508698597908453,0.6895768229166667,0.4825,0.3274780551462659,0.145263671875,0.0613232421875
delay,unpaired64_seed33,0.3847984125619265,0.692431640625,0.5225,0.3367826926202343,0.15482747395833332,0.0680322265625
delay,choice128_seed11,0.391880606931468,0.6814973958333334,0.4633333333333333,0.31653945931029853,0.1367138671875,0.06085286458333333
delay,choice128_seed22,0.3921312562800405,0.6870524088541666,0.5625,0.33863366146648993,0.15959309895833335,0.07817708333333333
delay,choice128_seed33,0.3914141033038505,0.6851578776041667,0.5175,0.3272706123926697,0.1501171875,0.070595703125
cost,always_act,0.6145257573388189,0.6057682291666666,0.0,0.22,0.0,0.0
cost,always_look,0.9050003246098353,0.6247330729166667,1.0,0.529667714345557,0.17154622395833333,0.15258138020833334
cost,always_probe,0.7788687011649199,0.64765625,1.0,0.42555837257306794,0.2266064453125,0.18471842447916667
cost,tuned_rule,0.5894356480525399,0.6597379557291667,0.21833333333333332,0.2519475270678572,0.06945149739583334,0.015481770833333333
cost,known_model_mc,0.5843060651946911,0.6801725260416667,0.2941666666666667,0.2670703510874257,0.09590169270833333,0.021497395833333332
cost,outcome64_seed11,0.5827742941907672,0.6812272135416667,0.2891666666666667,0.266574564032079,0.09540364583333333,0.019944661458333332
cost,outcome64_seed22,0.5827602154651651,0.6819156901041666,0.295,0.2674427744427707,0.09749348958333333,0.021346028645833334
cost,outcome64_seed33,0.5825546533024584,0.681298828125,0.2891666666666667,0.2663819828957682,0.09578938802083334,0.0202587890625
cost,paired64_seed11,0.5826259186067729,0.67984375,0.2808333333333333,0.26470877683090815,0.09304524739583334,0.0189697265625
cost,paired64_seed22,0.5826205143081233,0.6816080729166667,0.29,0.26654570709415487,0.09634765625,0.0205078125
cost,paired64_seed33,0.5824230669243492,0.6798779296875,0.28,0.26467712876920996,0.09293782552083334,0.018828125
cost,no_delay64_seed11,0.5862472343773313,0.6688411458333333,0.21166666666666667,0.25747707197199665,0.07618326822916667,0.0131103515625
cost,no_delay64_seed22,0.5863276703830549,0.6723828125,0.23,0.26163581451730755,0.08248209635416667,0.015867513020833335
cost,no_delay64_seed33,0.5858787463015291,0.669921875,0.2175,0.2584895383745529,0.07755696614583334,0.0134033203125
cost,unpaired64_seed11,0.5822773658922572,0.678955078125,0.27666666666666667,0.26368493400393833,0.09156575520833334,0.01837890625
cost,unpaired64_seed22,0.5824577681435851,0.6807877604166667,0.2866666666666667,0.2661855202035602,0.09526692708333333,0.020247395833333334
cost,unpaired64_seed33,0.5824381034233371,0.6817496744791667,0.29,0.2666384848236487,0.0958251953125,0.01984375
cost,choice128_seed11,0.5984663038580632,0.648701171875,0.16833333333333333,0.2510164513626313,0.056165364583333335,0.013232421875
cost,choice128_seed22,0.596081787204345,0.6767610677083333,0.30916666666666665,0.27607662714386405,0.095263671875,0.024270833333333332
cost,choice128_seed33,0.5971612272686834,0.6741178385416666,0.2808333333333333,0.2727486510901788,0.0938427734375,0.0254931640625
